Team,Name,Position,ETR Rank,ADP,ADP Differential,Week_17,Week_16,Week_15,Division
CLE,Jerome Ford,RB,133,132.9,-0.1,MIA,CIN,KC,AFC NORTH
CAR,Adam Thielen,WR,134,150.0,16.0,TB,ARI,DAL,NFC SOUTH
CLE,Deshaun Watson,QB,135,154.1,19.1,MIA,CIN,KC,AFC NORTH
WAS,Jahan Dotson,WR,136,138.2,2.2,ATL,PHI,NO,NFC EAST
SEA,Zach Charbonnet,RB,137,141.0,4.0,CHI,MIN,GB,NFC WEST
NYJ,Aaron Rodgers,QB,138,139.5,1.5,BUF,LAR,JAX,AFC EAST
LAR,Matthew Stafford,QB,139,136.3,-2.7,ARI,NYJ,SF,NFC WEST
TB,Baker Mayfield,QB,140,146.4,6.4,CAR,DAL,LAC,NFC SOUTH
CHI,Cole Kmet,TE,141,132.9,-8.1,SEA,DET,MIN,NFC NORTH
HOU,Dalton Schultz,TE,142,119.2,-22.8,BAL,KC,MIA,AFC SOUTH
NE,Antonio Gibson,RB,143,164.8,21.8,LAC,BUF,ARI,AFC EAST
CLE,Nick Chubb,RB,144,104.2,-39.8,MIA,CIN,KC,AFC NORTH
ATL,Darnell Mooney,WR,145,148.7,3.7,WAS,NYG,LV,NFC SOUTH
SEA,Geno Smith,QB,146,162.1,16.1,CHI,MIN,GB,NFC WEST
NYJ,Malachi Corley,WR,147,173.2,26.2,BUF,LAR,JAX,AFC EAST
NYG,Wan'Dale Robinson,WR,148,173.6,25.6,IND,ATL,BAL,NFC EAST
MIN,Ty Chandler,RB,149,156.0,7.0,GB,SEA,CHI,NFC NORTH
NE,Ja'Lynn Polk,WR,150,160.2,10.2,LAC,BUF,ARI,AFC EAST
PIT,Pat Freiermuth,TE,151,141.5,-9.5,KC,BAL,PHI,AFC NORTH
MIN,J.J. McCarthy,QB,152,172.1,20.1,GB,SEA,CHI,NFC NORTH
GB,Marshawn Lloyd,RB,153,154.7,1.7,MIN,NO,SEA,NFC NORTH
CAR,Xavier Legette,WR,154,145.0,-9.0,TB,ARI,DAL,NFC SOUTH
NO,Derek Carr,QB,155,177.9,22.9,LV,GB,WAS,NFC SOUTH
NO,Kendre Miller,RB,156,149.7,-6.3,LV,GB,WAS,NFC SOUTH
CHI,Khalil Herbert,RB,157,186.4,29.4,SEA,DET,MIN,NFC NORTH
NO,Juwan Johnson,TE,158,179.3,21.3,LV,GB,WAS,NFC SOUTH
BAL,Isaiah Likely,TE,159,176.0,17.0,HOU,PIT,NYG,AFC NORTH
