Name,Team,Position,ETR Rank,ADP,ADP Differential
Logan Thomas,FA,TE,271,260,-11
Ja'Tavion Sanders,CAR,TE,272,202.3,-69.7
Kylen Granson,IND,TE,273,230.5,-42.5
Trent Sherfield,MIN,WR,274,260,-14
Donald Parham,LAC,TE,275,225.9,-49.1
Tyler Higbee,LAR,TE,276,226.8,-49.2
Tommy Tremble,CAR,TE,277,260,-17
Jauan Jennings,SF,WR,278,225.5,-52.5
Brandon Powell,MIN,WR,279,229.6,-49.4
Michael Gallup,LV,WR,280,226,-54
Deuce Vaughn,DAL,RB,281,228.7,-52.3
Tutu Atwell,LAR,WR,282,224.6,-57.4
D'Ernest Johnson,JAX,RB,283,228.2,-54.8
Laviska Shenault,SEA,WR,284,260,-24
Zach Ertz,WAS,TE,285,226.3,-58.7
Braxton Berrios,MIA,WR,286,260,-26
Gerald Everett,CHI,TE,287,228.7,-58.3
Gary Brightwell,NYG,RB,288,260,-28
Noah Gray,KC,TE,289,228.1,-60.9
Jamari Thrash,CLE,WR,290,229.2,-60.8
Chris Moore,ARI,WR,291,260,-31
Eric Gray,NYG,RB,292,230.5,-61.5
Jacob Cowing,SF,WR,293,225.4,-67.6
Johnny Wilson,PHI,WR,294,227.8,-66.2
Darren Waller,NYG,TE,295,204.2,-90.8
Johnny Mundt,MIN,TE,296,260,-36
Ameer Abdullah,LV,RB,297,260,-37
Jeffery Wilson,MIA,RB,298,260,-38
JuJu Smith-Schuster,NE,WR,299,227.2,-71.8
Nick Westbrook-Ikhine,TEN,WR,300,260,-40
